TEN 2015-10-13 05:32:58.559080

Linux-4.2.0-1-amd64-x86_64-with-debian-stretch-sid
uname_result(system='Linux', node='antu', release='4.2.0-1-amd64', version='#1 SMP Debian 4.2.1-2 (2015-09-27)', machine='x86_64', processor='')

Input parameters:
-----------------
NP radius: 15.000 nm
Foster radius: 2.290 nm
Mean free path: 150.000 nm
Tau_D: 0.333 ns
Number of acceptors: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 411, 412, 413, 414, 415, 416, 417, 418, 419, 420, 421, 422, 423, 424, 425, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435, 436]
Epsilon: 1.000 nm
Number of exitations: 5000
Delta_t: 0.002 ns

Output parameters:
------------------
Probability of decay: 0.006644

+--------------+------------------+---------------------+----------------------+------------+-------------------+------------------+
| Nº acceptors | Amount of decays | Amount of transfers | Quenching efficiency | Walk mean* | LD calculate [nm] | Total time [seg] |
+--------------+------------------+---------------------+----------------------+------------+-------------------+------------------+
|      0       |      5000.0      |         0.0         |         0.0          |  148.144   |   3.83241676828   |  59.1188342571   |
|      1       |      4904.0      |         96.0        |        0.0192        |  143.185   |   3.80713039648   |  57.8262951374   |
|      2       |      4803.0      |        197.0        |        0.0394        |  142.596   |   3.81490294308   |   58.524053812   |
|      3       |      4705.0      |        295.0        |        0.059         |  139.3832  |   3.78341937005   |  57.4378771782   |
|      4       |      4561.0      |        439.0        |        0.0878        |  140.0068  |   3.77159958623   |  57.9915761948   |
|      5       |      4509.0      |        491.0        |        0.0982        |  133.802   |   3.76933457439   |  55.5691828728   |
|      6       |      4378.0      |        622.0        |        0.1244        |  132.1736  |   3.69013050088   |  54.9510219097   |
|      7       |      4363.0      |        637.0        |        0.1274        |  129.1296  |   3.67951033619   |  53.9452402592   |
|      8       |      4239.0      |        761.0        |        0.1522        |  123.2572  |   3.63121332802   |  51.7445516586   |
|      9       |      4198.0      |        802.0        |        0.1604        |  122.7018  |   3.60429563387   |  51.5842654705   |
|      10      |      4114.0      |        886.0        |        0.1772        |  123.5586  |   3.60659258944   |  52.1685094833   |
|      11      |      3992.0      |        1008.0       |        0.2016        |  116.3818  |   3.60595026143   |  49.3676178455   |
|      12      |      3941.0      |        1059.0       |        0.2118        |  116.6888  |   3.49407932712   |  49.6920146942   |
|      13      |      3853.0      |        1147.0       |        0.2294        |  118.2856  |    3.5233833821   |  50.3840529919   |
|      14      |      3786.0      |        1214.0       |        0.2428        |  112.3614  |   3.48485686733   |   47.956151247   |
|      15      |      3769.0      |        1231.0       |        0.2462        |  111.467   |   3.50707578786   |   47.930324316   |
|      16      |      3666.0      |        1334.0       |        0.2668        |  108.4006  |   3.40039268967   |  46.5006821156   |
|      17      |      3602.0      |        1398.0       |        0.2796        |  108.487   |   3.46541745958   |  46.7285161018   |
|      18      |      3568.0      |        1432.0       |        0.2864        |  105.4732  |   3.39973530557   |  45.7467155457   |
|      19      |      3508.0      |        1492.0       |        0.2984        |  107.336   |   3.41397101654   |  46.5926570892   |
|      20      |      3428.0      |        1572.0       |        0.3144        |  102.6714  |   3.36164192303   |  44.8157889843   |
|      21      |      3383.0      |        1617.0       |        0.3234        |  101.2242  |   3.38488460077   |  44.1320624352   |
|      22      |      3348.0      |        1652.0       |        0.3304        |  100.1778  |   3.33450703324   |  43.8431282043   |
|      23      |      3314.0      |        1686.0       |        0.3372        |  94.7434   |    3.2896226552   |  41.5325593948   |
|      24      |      3202.0      |        1798.0       |        0.3596        |  96.0884   |   3.28955183496   |  42.3460478783   |
|      25      |      3235.0      |        1765.0       |        0.353         |  94.9104   |   3.25967322793   |   42.000685215   |
|      26      |      3156.0      |        1844.0       |        0.3688        |  94.2598   |   3.25913362702   |  41.9087166786   |
|      27      |      3066.0      |        1934.0       |        0.3868        |  90.6496   |   3.21466892137   |  40.3227005005   |
|      28      |      3034.0      |        1966.0       |        0.3932        |  87.9814   |   3.18442266386   |  39.2835450172   |
|      29      |      3001.0      |        1999.0       |        0.3998        |   87.857   |   3.19051512435   |  39.3742740154   |
|      30      |      2890.0      |        2110.0       |        0.422         |  89.4178   |   3.19891347066   |  40.1244523525   |
