TEN 2015-10-13 03:10:46.628209

Linux-4.2.0-1-amd64-x86_64-with-debian-stretch-sid
uname_result(system='Linux', node='antu', release='4.2.0-1-amd64', version='#1 SMP Debian 4.2.1-2 (2015-09-27)', machine='x86_64', processor='')

Input parameters:
-----------------
NP radius: 15.000 nm
Foster radius: 2.290 nm
Mean free path: 100.000 nm
Tau_D: 0.333 ns
Number of acceptors: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 411, 412, 413, 414, 415, 416, 417, 418, 419, 420, 421, 422, 423, 424, 425, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435, 436]
Epsilon: 1.000 nm
Number of exitations: 5000
Delta_t: 0.003 ns

Output parameters:
------------------
Probability of decay: 0.009950

+--------------+------------------+---------------------+----------------------+------------+-------------------+------------------+
| Nº acceptors | Amount of decays | Amount of transfers | Quenching efficiency | Walk mean* | LD calculate [nm] | Total time [seg] |
+--------------+------------------+---------------------+----------------------+------------+-------------------+------------------+
|      0       |      5000.0      |         0.0         |         0.0          |  100.2398  |   3.37710744711   |  40.7190785408   |
|      1       |      4911.0      |         89.0        |        0.0178        |   99.66    |   3.30592648827   |   40.749314785   |
|      2       |      4837.0      |        163.0        |        0.0326        |  94.9996   |   3.27132398314   |  39.5449340343   |
|      3       |      4762.0      |        238.0        |        0.0476        |  94.1492   |   3.31568075186   |  39.0743176937   |
|      4       |      4692.0      |        308.0        |        0.0616        |  93.7996   |   3.28084495094   |  39.0548994541   |
|      5       |      4595.0      |        405.0        |        0.081         |   92.472   |   3.25680616057   |  38.5141584873   |
|      6       |      4525.0      |        475.0        |        0.095         |  90.4012   |   3.23163150381   |   37.756550312   |
|      7       |      4454.0      |        546.0        |        0.1092        |  89.7214   |   3.22710560186   |  37.7016365528   |
|      8       |      4414.0      |        586.0        |        0.1172        |   87.479   |   3.24387596171   |  37.1108751297   |
|      9       |      4350.0      |        650.0        |         0.13         |  86.2964   |   3.13644804696   |  36.4902133942   |
|      10      |      4275.0      |        725.0        |        0.145         |  85.8536   |   3.13270441735   |  36.8353009224   |
|      11      |      4190.0      |        810.0        |        0.162         |  86.3026   |   3.15190190407   |  37.0943486691   |
|      12      |      4176.0      |        824.0        |        0.1648        |  84.0458   |   3.12070277484   |  36.0724380016   |
|      13      |      4111.0      |        889.0        |        0.1778        |  81.9604   |   3.09745536708   |  35.2820181847   |
|      14      |      4038.0      |        962.0        |        0.1924        |  81.4748   |   3.08954694885   |  35.1737644672   |
|      15      |      3925.0      |        1075.0       |        0.215         |  77.7852   |   3.05331783022   |  33.5806815624   |
|      16      |      3917.0      |        1083.0       |        0.2166        |  78.2674   |   3.03178058584   |  33.8602185249   |
|      17      |      3898.0      |        1102.0       |        0.2204        |   74.527   |    2.9640541558   |  32.3587892056   |
|      18      |      3819.0      |        1181.0       |        0.2362        |  74.6842   |   2.99373775981   |  32.7645087242   |
|      19      |      3783.0      |        1217.0       |        0.2434        |  74.4368   |    3.001089143    |  33.0739569664   |
|      20      |      3705.0      |        1295.0       |        0.259         |   73.142   |   2.98817679878   |  32.4343845844   |
|      21      |      3653.0      |        1347.0       |        0.2694        |  71.8262   |   2.95714603971   |  32.5682370663   |
|      22      |      3626.0      |        1374.0       |        0.2748        |   72.294   |   2.98489656627   |  32.5880479813   |
|      23      |      3570.0      |        1430.0       |        0.286         |  71.1322   |    2.9524890717   |  31.7837281227   |
|      24      |      3495.0      |        1505.0       |        0.301         |  68.0802   |   2.90228367182   |  30.3604433537   |
|      25      |      3516.0      |        1484.0       |        0.2968        |  69.8394   |   2.91130926885   |  31.2569622993   |
|      26      |      3445.0      |        1555.0       |        0.311         |  70.1938   |   2.92294859544   |  31.4421093464   |
|      27      |      3380.0      |        1620.0       |        0.324         |  67.5514   |   2.91276553446   |  30.2827560902   |
|      28      |      3383.0      |        1617.0       |        0.3234        |  67.2716   |   2.85377423933   |  30.2937629223   |
|      29      |      3350.0      |        1650.0       |         0.33         |  65.1034   |   2.82225757613   |  29.3841588497   |
|      30      |      3217.0      |        1783.0       |        0.3566        |  64.8568   |   2.81636648923   |  29.4219398499   |
|      31      |      3199.0      |        1801.0       |        0.3602        |  65.5244   |   2.81035312049   |  29.8846740723   |
|      32      |      3200.0      |        1800.0       |         0.36         |  63.0496   |   2.79310592172   |   29.222632885   |
|      33      |      3149.0      |        1851.0       |        0.3702        |  61.7452   |   2.77365256022   |  28.2890992165   |
|      34      |      3114.0      |        1886.0       |        0.3772        |  61.5684   |    2.758910558    |  28.4249892235   |
|      35      |      3061.0      |        1939.0       |        0.3878        |  62.0914   |   2.76632192548   |  28.6485731602   |
|      36      |      3021.0      |        1979.0       |        0.3958        |  60.6488   |   2.74358540866   |   28.095690012   |
|      37      |      3035.0      |        1965.0       |        0.393         |  59.9452   |   2.73597851941   |  27.8894722462   |
|      38      |      3039.0      |        1961.0       |        0.3922        |  60.2606   |   2.73936590245   |  28.0793569088   |
|      39      |      2944.0      |        2056.0       |        0.4112        |  59.7634   |   2.74712623705   |  27.7531859875   |
|      40      |      2894.0      |        2106.0       |        0.4212        |  56.7808   |   2.68074144281   |  26.5764744282   |
|      41      |      2856.0      |        2144.0       |        0.4288        |   56.866   |   2.67638321964   |  26.7591717243   |
|      42      |      2874.0      |        2126.0       |        0.4252        |  54.8108   |   2.62138076967   |  25.9162640572   |
|      43      |      2783.0      |        2217.0       |        0.4434        |  55.4472   |   2.63553885708   |  26.4875721931   |
|      44      |      2822.0      |        2178.0       |        0.4356        |  55.0164   |   2.64778851836   |  26.4175097942   |
|      45      |      2803.0      |        2197.0       |        0.4394        |  55.0944   |   2.68134444436   |  26.5401690006   |
|      46      |      2787.0      |        2213.0       |        0.4426        |  55.0468   |   2.64662290772   |  26.6680665016   |
|      47      |      2696.0      |        2304.0       |        0.4608        |  53.0632   |   2.62607182614   |  25.7911868095   |
|      48      |      2651.0      |        2349.0       |        0.4698        |  52.7816   |   2.60448460202   |  25.7248282433   |
|      49      |      2651.0      |        2349.0       |        0.4698        |  52.2484   |   2.58645620534   |  25.5868470669   |
|      50      |      2633.0      |        2367.0       |        0.4734        |  51.2344   |    2.5934307438   |  25.0602345467   |
|      51      |      2577.0      |        2423.0       |        0.4846        |  51.9734   |   2.58102607124   |   25.529239893   |
|      52      |      2518.0      |        2482.0       |        0.4964        |  49.4084   |   2.50030705262   |  24.4719588757   |
|      53      |      2556.0      |        2444.0       |        0.4888        |  49.0156   |   2.49539097991   |  24.2563626766   |
|      54      |      2551.0      |        2449.0       |        0.4898        |  49.2588   |   2.52281848036   |  24.4411346912   |
|      55      |      2510.0      |        2490.0       |        0.498         |  49.1664   |   2.51317016727   |  24.3620138168   |
|      56      |      2477.0      |        2523.0       |        0.5046        |  48.0632   |   2.49828469933   |  23.8854198456   |
|      57      |      2455.0      |        2545.0       |        0.509         |  50.1226   |   2.58930896175   |  24.9433591366   |
|      58      |      2435.0      |        2565.0       |        0.513         |  47.6658   |   2.49537471384   |  23.9246804714   |
|      59      |      2455.0      |        2545.0       |        0.509         |  47.3658   |   2.47744288864   |  23.7798626423   |
|      60      |      2425.0      |        2575.0       |        0.515         |   47.028   |   2.49209631677   |  23.7268950939   |
|      61      |      2397.0      |        2603.0       |        0.5206        |  47.3366   |   2.46904828101   |  23.8678851128   |
|      62      |      2325.0      |        2675.0       |        0.535         |  46.0508   |   2.42974747348   |  23.4022536278   |
|      63      |      2330.0      |        2670.0       |        0.534         |  45.3536   |   2.43008327214   |  23.0741257668   |
|      64      |      2291.0      |        2709.0       |        0.5418        |   45.422   |   2.45008378277   |  23.1882631779   |
|      65      |      2309.0      |        2691.0       |        0.5382        |  44.3568   |   2.41412591686   |  22.7570929527   |
|      66      |      2202.0      |        2798.0       |        0.5596        |   43.479   |   2.39783420387   |  22.4568743706   |
|      67      |      2274.0      |        2726.0       |        0.5452        |  44.1478   |    2.4177454408   |  22.6695418358   |
|      68      |      2179.0      |        2821.0       |        0.5642        |   44.224   |    2.4040917371   |  22.9050450325   |
|      69      |      2229.0      |        2771.0       |        0.5542        |   43.478   |   2.38509825212   |  22.7825553417   |
