TEN 2015-10-13 03:10:46.628209

Linux-4.2.0-1-amd64-x86_64-with-debian-stretch-sid
uname_result(system='Linux', node='antu', release='4.2.0-1-amd64', version='#1 SMP Debian 4.2.1-2 (2015-09-27)', machine='x86_64', processor='')

Input parameters:
-----------------
NP radius: 15.000 nm
Foster radius: 2.290 nm
Mean free path: 100.000 nm
Tau_D: 0.333 ns
Number of acceptors: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 411, 412, 413, 414, 415, 416, 417, 418, 419, 420, 421, 422, 423, 424, 425, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435, 436]
Epsilon: 1.000 nm
Number of exitations: 5000
Delta_t: 0.003 ns

Output parameters:
------------------
Probability of decay: 0.009950

+--------------+------------------+---------------------+----------------------+------------+-------------------+------------------+
| Nº acceptors | Amount of decays | Amount of transfers | Quenching efficiency | Walk mean* | LD calculate [nm] | Total time [seg] |
|      70      |      2162.0      |        2838.0       |        0.5676        |  42.0234   |   2.34750672787   |  21.7336530685   |
|      71      |      2137.0      |        2863.0       |        0.5726        |  41.3672   |   2.34922873823   |  21.3517167568   |
|      72      |      2125.0      |        2875.0       |        0.575         |  43.1828   |   2.35996015026   |  22.3852350712   |
|      73      |      2141.0      |        2859.0       |        0.5718        |  40.9824   |    2.3396805095   |  21.5365145206   |
|      74      |      2090.0      |        2910.0       |        0.582         |  41.3158   |   2.34753075963   |  21.6563403606   |
|      75      |      2075.0      |        2925.0       |        0.585         |  41.5622   |   2.37698297402   |  21.8076336384   |
|      76      |      2057.0      |        2943.0       |        0.5886        |  40.8648   |   2.32100937493   |  21.5643913746   |
|      77      |      1977.0      |        3023.0       |        0.6046        |  40.4956   |   2.32503521578   |  21.3360128403   |
|      78      |      2003.0      |        2997.0       |        0.5994        |   40.294   |   2.31168159634   |  21.3335492611   |
|      79      |      1986.0      |        3014.0       |        0.6028        |  39.1712   |   2.30541727963   |  20.8217051029   |
|      80      |      1971.0      |        3029.0       |        0.6058        |   40.367   |   2.30616139166   |  21.7244606018   |
|      81      |      1960.0      |        3040.0       |        0.608         |  38.0152   |   2.23870937776   |  20.3790516853   |
|      82      |      1931.0      |        3069.0       |        0.6138        |   38.044   |   2.24769360541   |  20.3570239544   |
|      83      |      1920.0      |        3080.0       |        0.616         |  37.2458   |    2.2357187163   |  19.9480669498   |
|      84      |      1948.0      |        3052.0       |        0.6104        |   37.95    |    2.2416226999   |  20.3841710091   |
|      85      |      1915.0      |        3085.0       |        0.617         |  37.4774   |   2.27018728321   |  20.1927075386   |
|      86      |      1935.0      |        3065.0       |        0.613         |   36.692   |   2.22744836256   |  19.9934201241   |
|      87      |      1928.0      |        3072.0       |        0.6144        |  36.7068   |   2.20229779387   |   19.903440237   |
|      88      |      1843.0      |        3157.0       |        0.6314        |  37.5978   |    2.2126751796   |   20.341370821   |
|      89      |      1911.0      |        3089.0       |        0.6178        |  36.2366   |   2.18388461786   |  19.7302086353   |
|      90      |      1838.0      |        3162.0       |        0.6324        |  36.1866   |   2.22648213629   |   19.793431282   |
|      91      |      1868.0      |        3132.0       |        0.6264        |   36.381   |   2.20838750232   |  19.8762843609   |
|      92      |      1843.0      |        3157.0       |        0.6314        |  34.5902   |   2.17937840384   |  19.0892212391   |
|      93      |      1833.0      |        3167.0       |        0.6334        |  36.1434   |   2.20751071857   |  19.9562911987   |
|      94      |      1746.0      |        3254.0       |        0.6508        |   34.641   |   2.17261937099   |  19.1856825352   |
|      95      |      1769.0      |        3231.0       |        0.6462        |  34.7072   |   2.15707819004   |   19.272103548   |
|      96      |      1814.0      |        3186.0       |        0.6372        |  34.7954   |   2.17545490985   |  19.1988742352   |
|      97      |      1745.0      |        3255.0       |        0.651         |  34.7028   |   2.14367643613   |  19.4439604282   |
|      98      |      1787.0      |        3213.0       |        0.6426        |  33.3892   |   2.10763397923   |  18.7215783596   |
|      99      |      1719.0      |        3281.0       |        0.6562        |  33.4866   |   2.15379639945   |  18.7891817093   |
|     100      |      1711.0      |        3289.0       |        0.6578        |  32.7478   |    2.1084819462   |  18.3591029644   |
|     101      |      1700.0      |        3300.0       |         0.66         |  32.4378   |   2.10141248803   |  18.1575133801   |
|     102      |      1653.0      |        3347.0       |        0.6694        |  32.4672   |   2.08731402354   |  18.3402910233   |
|     103      |      1712.0      |        3288.0       |        0.6576        |  31.7574   |     2.11062656    |  17.9270005226   |
|     104      |      1717.0      |        3283.0       |        0.6566        |   31.337   |   2.04047423277   |  17.7368912697   |
|     105      |      1629.0      |        3371.0       |        0.6742        |  31.9434   |   2.09467323442   |  18.2567842007   |
|     106      |      1644.0      |        3356.0       |        0.6712        |   32.613   |   2.11495879555   |  18.5883147717   |
|     107      |      1609.0      |        3391.0       |        0.6782        |  32.0872   |   2.09820114451   |  18.3568255901   |
|     108      |      1649.0      |        3351.0       |        0.6702        |   31.881   |   2.05995974937   |  18.3668589592   |
|     109      |      1619.0      |        3381.0       |        0.6762        |   31.034   |   2.05706188882   |  17.9359066486   |
|     110      |      1581.0      |        3419.0       |        0.6838        |  31.1258   |   2.03156969974   |  18.1376640797   |
|     111      |      1617.0      |        3383.0       |        0.6766        |  31.0862   |    2.056040213    |  18.0047824383   |
|     112      |      1538.0      |        3462.0       |        0.6924        |  30.9196   |   2.08494552011   |  18.0079464912   |
|     113      |      1571.0      |        3429.0       |        0.6858        |   30.509   |   2.03511641896   |  17.7978067398   |
|     114      |      1538.0      |        3462.0       |        0.6924        |  29.7646   |   2.00444427792   |  17.9362325668   |
|     115      |      1556.0      |        3444.0       |        0.6888        |  29.6368   |    2.0086640992   |  17.5462536812   |
|     116      |      1547.0      |        3453.0       |        0.6906        |  29.8546   |    2.0278840199   |  17.6474692822   |
|     117      |      1516.0      |        3484.0       |        0.6968        |  29.9368   |   2.02031379853   |  17.6404900551   |
|     118      |      1532.0      |        3468.0       |        0.6936        |  29.0736   |   1.99686655878   |  17.2276072502   |
|     119      |      1476.0      |        3524.0       |        0.7048        |   29.19    |   1.99195604975   |  17.2334704399   |
|     120      |      1472.0      |        3528.0       |        0.7056        |  28.5978   |   1.96703115177   |  16.8288915157   |
|     121      |      1466.0      |        3534.0       |        0.7068        |  27.9072   |    1.9866868633   |  16.6144957542   |
|     122      |      1471.0      |        3529.0       |        0.7058        |   28.43    |   1.98571757463   |  16.8774349689   |
|     123      |      1439.0      |        3561.0       |        0.7122        |  28.8234   |   1.97920816766   |  17.1904981136   |
|     124      |      1435.0      |        3565.0       |        0.713         |  28.7774   |   1.98834107506   |  17.1886036396   |
|     125      |      1445.0      |        3555.0       |        0.711         |  27.6682   |   1.93476660252   |  16.7507860661   |
|     126      |      1404.0      |        3596.0       |        0.7192        |  28.0412   |   1.99219912795   |  16.8771901131   |
|     127      |      1388.0      |        3612.0       |        0.7224        |   27.182   |   1.96238885111   |  16.4010174274   |
|     128      |      1448.0      |        3552.0       |        0.7104        |  27.4898   |    1.9411535678   |  16.8169157505   |
|     129      |      1443.0      |        3557.0       |        0.7114        |  27.6518   |    1.9600330205   |  16.9703521729   |
|     130      |      1418.0      |        3582.0       |        0.7164        |  26.3348   |   1.91246732287   |  16.2261450291   |
|     131      |      1370.0      |        3630.0       |        0.726         |  26.4498   |   1.89013244985   |  16.2872240543   |
|     132      |      1405.0      |        3595.0       |        0.719         |  26.4372   |   1.88502394754   |   16.31067729    |
|     133      |      1383.0      |        3617.0       |        0.7234        |   26.568   |   1.92618827307   |  16.4459352493   |
|     134      |      1375.0      |        3625.0       |        0.725         |  26.4652   |   1.90688265301   |  16.3734173775   |
|     135      |      1267.0      |        3733.0       |        0.7466        |   26.183   |   1.89436717799   |  16.2303991318   |
|     136      |      1347.0      |        3653.0       |        0.7306        |   25.957   |   1.90197612494   |  16.1697001457   |
|     137      |      1299.0      |        3701.0       |        0.7402        |  25.7606   |   1.91481591838   |  16.0778651237   |
|     138      |      1337.0      |        3663.0       |        0.7326        |  24.8934   |   1.88455292909   |  15.7309865952   |
|     139      |      1310.0      |        3690.0       |        0.738         |  25.0098   |   1.86616817741   |  15.7945988178   |
|     140      |      1269.0      |        3731.0       |        0.7462        |  25.5996   |    1.8550509401   |  16.1094079018   |
|     141      |      1268.0      |        3732.0       |        0.7464        |  24.8478   |   1.85029942601   |  15.6618487835   |
|     142      |      1241.0      |        3759.0       |        0.7518        |   24.685   |   1.86813572127   |  15.6497793198   |
|     143      |      1246.0      |        3754.0       |        0.7508        |  24.4924   |   1.87054448851   |  15.5261874199   |
|     144      |      1275.0      |        3725.0       |        0.745         |  25.3098   |   1.85141237273   |  16.1357421875   |
|     145      |      1289.0      |        3711.0       |        0.7422        |   24.767   |   1.85806352165   |  15.7537796497   |
|     146      |      1247.0      |        3753.0       |        0.7506        |  24.5784   |   1.83574059227   |  15.9550364017   |
|     147      |      1244.0      |        3756.0       |        0.7512        |  23.0516   |   1.80340709489   |  15.2873108387   |
|     148      |      1216.0      |        3784.0       |        0.7568        |  24.8236   |   1.84209488164   |  16.1255688667   |
|     149      |      1264.0      |        3736.0       |        0.7472        |  24.0468   |   1.83413627258   |  15.6213915348   |
|     150      |      1240.0      |        3760.0       |        0.752         |  24.4476   |   1.82516596348   |  15.8355958462   |
|     151      |      1219.0      |        3781.0       |        0.7562        |  23.2142   |   1.84486962349   |  15.0809922218   |
|     152      |      1231.0      |        3769.0       |        0.7538        |  23.2496   |   1.81989590816   |  15.1832339764   |
|     153      |      1190.0      |        3810.0       |        0.762         |  23.6698   |   1.79726225428   |  15.4990749359   |
|     154      |      1205.0      |        3795.0       |        0.759         |  23.0556   |   1.78525021307   |  15.1342875957   |
|     155      |      1148.0      |        3852.0       |        0.7704        |  22.9182   |    1.7932289579   |  15.0125501156   |
|     156      |      1246.0      |        3754.0       |        0.7508        |   22.571   |   1.78935481616   |  14.7895519733   |
|     157      |      1135.0      |        3865.0       |        0.773         |  23.0828   |   1.83273950285   |  15.1617333889   |
|     158      |      1198.0      |        3802.0       |        0.7604        |   22.628   |   1.77446552976   |  14.9486515522   |
|     159      |      1228.0      |        3772.0       |        0.7544        |  22.5818   |   1.78472017966   |  14.8657915592   |
|     160      |      1126.0      |        3874.0       |        0.7748        |  22.6646   |    1.8045892715   |  15.0011901855   |
|     161      |      1160.0      |        3840.0       |        0.768         |  22.2232   |   1.78087761356   |  14.7612774372   |
|     162      |      1114.0      |        3886.0       |        0.7772        |  22.3138   |   1.78087887669   |  14.9216976166   |
|     163      |      1191.0      |        3809.0       |        0.7618        |   22.02    |   1.79197337132   |  14.6294736862   |
|     164      |      1163.0      |        3837.0       |        0.7674        |  22.1192   |   1.77965673693   |  14.8604323864   |
|     165      |      1163.0      |        3837.0       |        0.7674        |  21.7932   |   1.75659668864   |  14.6436173916   |
|     166      |      1142.0      |        3858.0       |        0.7716        |   21.197   |   1.72559371841   |  14.2835659981   |
|     167      |      1096.0      |        3904.0       |        0.7808        |  21.3724   |   1.73296740866   |  14.4810032845   |
|     168      |      1144.0      |        3856.0       |        0.7712        |  21.3524   |   1.75412980172   |  14.5825493336   |
|     169      |      1106.0      |        3894.0       |        0.7788        |   21.728   |   1.75670259186   |  14.9308085442   |
|     170      |      1080.0      |        3920.0       |        0.784         |  21.2348   |   1.71599439257   |  14.5886466503   |
|     171      |      1061.0      |        3939.0       |        0.7878        |  21.5354   |    1.7712447036   |   14.741243124   |
|     172      |      1102.0      |        3898.0       |        0.7796        |  21.5022   |   1.76098396635   |  14.7404193878   |
|     173      |      1134.0      |        3866.0       |        0.7732        |   20.83    |   1.72287747642   |  14.4846417904   |
|     174      |      1063.0      |        3937.0       |        0.7874        |  20.8748   |    1.730988442    |  14.4253151417   |
|     175      |      1038.0      |        3962.0       |        0.7924        |  20.1884   |   1.69381559956   |  14.0065801144   |
|     176      |      1024.0      |        3976.0       |        0.7952        |  20.0238   |   1.68661632344   |   13.955083847   |
|     177      |      1050.0      |        3950.0       |         0.79         |   20.355   |   1.71763275175   |  14.2327103615   |
|     178      |      1026.0      |        3974.0       |        0.7948        |  20.3206   |   1.69198690706   |  14.1884019375   |
|     179      |      1114.0      |        3886.0       |        0.7772        |  20.6038   |   1.71565545652   |  14.3236567974   |
|     180      |      1049.0      |        3951.0       |        0.7902        |  20.0892   |    1.6853839267   |  14.0871496201   |
|     181      |      1065.0      |        3935.0       |        0.787         |  20.5252   |   1.69728971493   |  14.4614744186   |
|     182      |      1014.0      |        3986.0       |        0.7972        |  20.7598   |   1.71458380261   |  14.6460692883   |
|     183      |      1050.0      |        3950.0       |         0.79         |  19.8742   |   1.69843303003   |  14.0258071423   |
|     184      |      981.0       |        4019.0       |        0.8038        |  20.0084   |   1.65425713326   |  14.1770830154   |
|     185      |      983.0       |        4017.0       |        0.8034        |   19.198   |   1.66695251582   |   13.680192709   |
|     186      |      1072.0      |        3928.0       |        0.7856        |  19.4956   |   1.68617328091   |  13.8579070568   |
|     187      |      1027.0      |        3973.0       |        0.7946        |  19.2268   |   1.67411729129   |  13.6905927658   |
|     188      |      1014.0      |        3986.0       |        0.7972        |  19.1008   |   1.62098744209   |  13.8422689438   |
|     189      |      981.0       |        4019.0       |        0.8038        |  18.8884   |   1.65229621532   |  13.5388760567   |
|     190      |      1042.0      |        3958.0       |        0.7916        |  18.5952   |   1.62699272869   |  13.3757150173   |
|     191      |      982.0       |        4018.0       |        0.8036        |   19.537   |    1.6704031329   |  14.0238265991   |
|     192      |      1045.0      |        3955.0       |        0.791         |  18.9888   |   1.66571333473   |  13.7306036949   |
|     193      |      1011.0      |        3989.0       |        0.7978        |   19.06    |   1.63808442991   |  13.7844035625   |
|     194      |      961.0       |        4039.0       |        0.8078        |  18.4012   |   1.61580105618   |  13.4221353531   |
|     195      |      986.0       |        4014.0       |        0.8028        |  18.5628   |    1.636119362    |  13.4874453545   |
|     196      |      988.0       |        4012.0       |        0.8024        |  18.4488   |   1.60947204482   |  13.4712979794   |
|     197      |      951.0       |        4049.0       |        0.8098        |  18.4864   |   1.63415612465   |  13.5326588154   |
|     198      |      986.0       |        4014.0       |        0.8028        |  18.4296   |   1.63556838226   |  13.4843659401   |
|     199      |      967.0       |        4033.0       |        0.8066        |  18.0438   |   1.60194394256   |  13.3477358818   |
|     200      |      958.0       |        4042.0       |        0.8084        |  17.8082   |   1.58827401044   |  13.2127966881   |
|     201      |      977.0       |        4023.0       |        0.8046        |  18.0758   |   1.62624625497   |  13.4376587868   |
|     202      |      880.0       |        4120.0       |        0.824         |  17.5682   |   1.59699744241   |  13.0635108948   |
|     203      |      935.0       |        4065.0       |        0.813         |  17.3918   |   1.58689003105   |  12.9371728897   |
|     204      |      898.0       |        4102.0       |        0.8204        |  17.7822   |   1.60216890663   |  13.2942678928   |
|     205      |      946.0       |        4054.0       |        0.8108        |  17.6236   |   1.57494303858   |   13.179377079   |
|     206      |      867.0       |        4133.0       |        0.8266        |  17.3912   |   1.58171210993   |  13.0112495422   |
