37.334	0.009	0.395	0.021	1.871	0.001	4.777
25.868	0.009	0.431	0.021	1.830	0.001	5.150
19.252	0.015	0.508	0.020	1.425	0	6.070
17.287	0.020	0.410	0.021	1.150	0	5.140
16.319	0.027	0.360	0.019	1.020	0	5.320
15.338	0.031	0.380	0.017	0.960	0	5.530
14.488	0.037	0.300	0.019	0.780	0	4.020
13.849	0.050	0.290	0.014	0.730	0	4.970
14.941	0.063	0.210	0.017	0.570	0	2.880
14.356	0.080	0.190	0.012	0.550	0	3.490
14.165	0.094	0.170	0.010	0.570	0	4.960
13.222	0.093	0.198	0.004	0.709	0	6.645
13.576	0.104	0.170	0.007	0.590	0	5.740
14.514	1.070	0.170	0.006	0.600	0	5.820
